525861	Seleção de Fundos			active		always	2019-12-11T12:26:55.000-03:00	2019-12-11T12:26:55.000-03:00	{'id': 10817398, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2019-12-11T12:26:55.000-03:00'}	{}
525884	A Seleção de Fundos Luciana Seabra	active	always	2019-12-11T13:33:59.000-03:00	2019-12-11T13:33:59.000-03:00	{'id': 10818100, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2019-12-11T13:33:59.000-03:00'}	{}
536745	Seleção de Fundos Campanha 1 ano			active		always	2020-01-06T12:29:36.000-03:00	2020-01-06T12:29:36.000-03:00	{'id': 11108759, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-01-06T12:29:36.000-03:00'}	{}
536752	A Seleção de Fundos por Luciana Seabra - Campanha Depoimento	a-selecao-de-fundos-por-luciana-seabra-campanha-depoimento		active		always	2020-01-06T12:42:55.000-03:00	2020-01-06T12:42:55.000-03:00	{'id': 11109062, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-01-06T12:42:55.000-03:00'}	{}
547473	O Melhor da Bolsa	o-melhor-da-bolsa		active		always	2020-01-27T21:33:49.000-03:00	2020-01-27T21:33:49.000-03:00	{'id': 11399333, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-01-27T21:33:49.000-03:00'}	{}
547531	O Melhor da Bolsa 10	o-melhor-da-bolsa-10		active		always	2020-01-28T07:40:10.000-03:00	2020-01-28T07:40:10.000-03:00	{'id': 11402474, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-01-28T07:40:10.000-03:00'}	{}
547721	O Melhor da Bolsa - Mensal			active		always	2020-01-28T12:34:34.000-03:00	2020-01-28T12:34:34.000-03:00	{'id': 11408289, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-01-28T12:34:34.000-03:00'}	{}
547722	O Melhor da Bolsa - Anual			active		always	2020-01-28T12:34:59.000-03:00	2020-01-28T12:34:59.000-03:00	{'id': 11408302, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-01-28T12:34:59.000-03:00'}	{}
553962	A Seleção de fundos por Luciana Seabra – VIP/Anual	a-selecao-de-fundos-por-luciana-seabra-vip-anual		active		always	2020-02-11T00:30:11.000-03:00	2020-02-11T00:30:11.000-03:00	{'id': 11604518, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-02-11T00:30:11.000-03:00'}	{}
553965	A Seleção de fundos por Luciana Seabra - VIP	a-selecao-de-fundos-por-luciana-seabra-vip		active		always	2020-02-11T01:01:56.000-03:00	2020-02-11T01:01:56.000-03:00	{'id': 11604574, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-02-11T01:01:56.000-03:00'}	{}
556840	VOCÊ INVESTIDOR GLOBAL + TELEGRAM COM FRANCINE BALBINA E LUCIANA SEABRA - Anual	voce-investidor-global-telegram-com-francine-balbina-e-luciana-seabra-anual		active		always	2020-02-14T23:30:20.000-03:00	2020-02-14T23:30:20.000-03:00	{'id': 11660843, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-02-14T23:30:20.000-03:00'}	{}
556842	VOCÊ, INVESTIDOR GLOBAL - Anual	voce-investidor-global-anual		active		always	2020-02-14T23:33:34.000-03:00	2020-02-14T23:33:34.000-03:00	{'id': 11660858, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-02-14T23:33:34.000-03:00'}	{}
